DateTime,AddedIPs,RemovedIPs
1539879302,239,0
1539882902,150,0
1539886502,172,0
1539890102,169,0
1539893702,422,0
1539897302,225,0
1539900902,124,0
1539904502,177,0
1539908102,147,4510
1539911702,175,0
1539915302,207,0
1539918902,226,0
1539922502,311,0
1539926102,231,0
1539929702,189,0
1539933302,311,0
1539936902,308,0
1539940502,152,0
1539944102,170,0
1539947702,186,0
1539951302,183,0
1539954902,317,0
1539958502,220,0
1539962102,216,0
1539965701,191,0
1539969303,169,0
1539972903,125,0
1539976503,115,0
1539980102,123,0
1539983702,150,0
1539987302,128,0
1539990902,132,0
1539994502,121,5950
1539998102,157,0
1540001702,154,0
1540005302,119,0
1540008902,141,0
1540012502,164,0
1540016102,184,0
1540019702,190,0
1540023302,313,0
1540026902,396,0
1540030502,220,0
1540034102,187,0
1540037702,225,0
1540041302,211,0
1540044902,182,0
1540048502,129,0
1540052102,149,0
1540055702,192,0
1540059302,146,0
1540062902,151,0
1540066502,178,0
1540070102,157,0
1540073702,142,0
1540077303,174,0
1540080902,148,4849
1540084502,353,0
1540088102,362,0
1540091702,234,0
1540095302,134,0
1540098902,150,0
1540102502,140,0
1540106102,178,0
1540109702,164,0
1540113302,178,0
1540116902,163,0
1540120502,139,0
1540124102,147,0
1540127702,157,0
1540131302,156,0
1540134902,145,0
1540138503,203,0
1540142102,136,0
1540145702,176,0
1540149302,141,0
1540152902,156,0
1540156502,157,0
1540160102,186,0
1540163702,148,0
1540167302,154,4292
1540170902,234,0
1540174502,302,0
1540178102,164,0
1540181702,161,0
1540185302,176,0
1540188902,317,0
1540192502,370,0
1540196102,673,0
1540199702,540,0
1540203302,309,0
1540206902,316,0
1540210502,330,0
1540214102,330,0
1540217702,286,0
1540221302,252,0
1540224902,188,0
1540228502,133,0
1540232102,135,0
1540235702,127,0
1540239302,155,0
1540242902,113,0
1540246501,127,0
1540250102,149,0
1540253702,157,4065
1540257302,189,0
1540260902,213,0
1540264502,152,0
1540268102,146,0
1540271702,256,0
1540275302,347,0
1540278902,356,0
1540282502,498,0
1540286102,359,0
1540289702,347,0
1540293303,337,0
1540296902,340,0
1540300502,370,0
1540304102,320,0
1540307702,318,0
1540311303,260,0
1540314902,282,0
1540318502,224,0
1540322103,206,0
1540325702,240,0
1540329302,129,0
1540332902,144,0
1540336502,239,0
1540340102,120,5320
1540343702,120,0
1540347302,190,0
1540350902,210,0
1540354502,122,0
1540358102,167,0
1540361702,163,0
1540365302,186,0
1540368902,197,0
1540372503,289,0
1540376102,295,0
1540379702,298,0
1540383302,309,0
1540386902,229,0
1540390502,220,0
1540394101,217,0
1540397702,178,0
1540401302,206,0
1540404902,138,0
1540408502,157,0
1540412102,183,0
1540415702,163,0
1540419303,181,0
1540422902,244,0
1540426502,211,6397
1540430103,328,0
1540433703,328,0
1540437302,211,0
1540440902,161,0
1540444502,173,0
1540448103,179,0
1540451703,218,0
1540455302,162,0
1540458902,306,0
1540462502,294,0
1540466102,326,0
1540469702,352,0
1540473302,286,1
1540476902,446,0
1540480502,540,1
1540484102,717,0
1540487702,312,0
1540491302,249,0
1540494902,274,0
1540498502,332,0
1540502102,286,0
1540505702,177,0
1540509302,147,0
1540512902,186,4699
1540516502,203,0
1540520102,106,0
1540523701,128,0
1540527302,111,0
1540530902,140,0
1540534502,132,0
1540538102,153,0
1540541702,183,0
1540545303,179,0
1540548902,121,0
1540552503,161,0
1540556102,155,1
1540559702,134,0
1540563302,128,0
1540566902,135,0
1540570502,136,0
1540574102,131,0
1540577702,148,0
1540581302,143,0
1540584902,110,0
1540588502,104,0
1540592102,108,0
1540595702,138,0
1540599302,89,7860
1540602902,126,1
1540606502,165,0
1540610102,128,0
1540613702,100,0
1540617302,136,0
1540620902,181,0
1540624502,198,0
1540628102,205,0
1540631702,175,0
1540635302,205,0
1540638902,153,0
1540642501,183,0
1540646102,196,0
1540649702,201,0
1540653302,524,0
1540656901,134,0
1540660502,166,0
1540664102,145,0
1540667702,171,0
1540671302,187,0
1540674902,159,0
1540678502,130,0
1540682102,112,0
1540685701,86,3718
1540689302,104,0
1540692902,91,0
1540696502,101,0
1540700101,95,0
1540703702,94,0
1540707302,116,0
1540710902,115,0
1540714502,168,0
1540718102,196,0
1540721702,114,0
1540725302,156,0
1540728902,144,0
1540732502,122,0
1540736102,126,0
1540739701,115,0
1540743302,221,0
1540746902,97,0
1540750502,127,0
1540754102,95,0
1540757702,97,0
1540761302,113,0
1540764902,113,0
1540768501,153,0
1540772102,122,4171
1540775702,154,0
1540779302,130,0
1540782902,152,0
1540786502,114,0
1540790102,168,0
1540793702,145,0
1540797301,179,0
1540800902,279,0
1540804503,271,0
1540808102,258,0
1540811702,195,0
1540815302,223,0
1540818902,264,0
1540822502,279,1
1540826102,177,0
1540829703,154,0
1540833302,147,0
1540836902,131,0
1540840502,149,0
1540844102,204,0
1540847702,123,0
1540851302,166,0
1540854902,137,0
1540858502,149,3019
1540862102,142,0
1540865702,171,0
1540869302,162,0
1540872902,169,0
1540876502,171,0
1540880102,225,0
1540883702,315,0
1540887302,265,0
1540890902,269,0
1540894503,189,0
1540898102,208,0
1540901702,170,0
1540905302,230,0
1540908902,184,0
1540912502,214,0
1540916102,287,0
1540919702,518,0
1540923302,184,0
1540926902,114,0
1540930502,134,0
1540934102,271,0
1540937702,136,0
1540941302,103,0
1540944902,122,4094
1540948502,144,0
1540952101,161,0
1540955702,160,0
1540959302,125,0
1540962902,144,0
1540966502,188,0
1540970102,182,0
1540973702,259,0
1540977302,197,0
1540980902,209,0
1540984502,227,0
1540988102,197,0
1540991702,246,0
1540995302,180,0
1540998902,230,0
1541002502,233,0
1541006102,122,0
1541009702,231,0
1541013302,191,0
1541016902,141,0
1541020502,131,0
1541024102,163,0
1541027702,305,0
1541031301,127,4890
1541034902,141,0
1541038502,152,0
1541042102,152,0
1541045702,125,0
1541049301,154,0
1541052902,182,0
1541056502,172,0
1541060102,162,0
1541063702,161,0
1541067302,187,0
1541070902,160,0
1541074502,214,0
1541078102,161,0
1541081702,137,0
1541085302,169,0
1541088902,184,0
1541092502,166,0
1541096103,185,0
1541099702,176,0
1541103302,190,0
1541106902,182,0
1541110502,160,0
1541114102,170,0
1541117702,160,4665
1541121302,155,0
1541124902,182,0
1541128501,169,0
1541132102,165,0
1541135702,176,0
1541139302,157,0
1541142902,199,0
1541146502,167,0
1541150102,173,0
1541153702,163,0
1541157302,195,0
1541160903,185,0
1541164502,196,0
1541168102,169,0
1541171702,173,0
1541175302,153,0
1541178902,139,0
1541182502,147,0
1541186102,122,0
1541189702,124,0
1541193302,133,0
1541196901,112,0
1541200502,126,0
1541204102,158,4114
1541207702,179,0
1541211302,194,0
1541214902,166,0
1541218502,178,0
1541222102,144,0
1541225702,162,0
1541229302,148,0
1541232902,169,0
1541236502,166,0
1541240102,185,0
1541243702,215,0
1541247302,165,0
1541250902,229,0
1541254502,160,0
1541258102,170,0
1541261702,225,0
1541265302,204,0
1541268902,171,0
1541272502,187,0
1541276102,179,0
1541279702,177,0
1541283302,154,0
1541286902,183,0
1541290502,157,3794
1541294102,210,0
1541297702,173,0
1541301302,153,0
1541304902,124,0
1541308502,195,0
1541312102,203,0
1541315702,184,0
1541319301,182,0
1541322902,199,0
1541326502,159,0
1541330102,388,0
1541333702,228,0
1541337302,492,0
1541340902,320,0
1541344501,203,0
1541348102,217,0
1541351702,169,0
1541355302,137,0
1541358902,115,0
1541362502,143,0
1541366102,161,0
1541369702,189,0
1541373302,178,0
1541376902,149,3975
1541380502,157,0
1541384103,153,0
1541387702,123,0
1541391302,135,0
1541394902,172,0
1541398502,185,0
1541402102,229,0
1541405702,237,0
1541409302,214,0
1541412902,195,0
1541416502,465,0
1541420102,420,0
1541423702,470,0
1541427303,214,0
1541430902,438,0
1541434502,364,0
1541438102,178,0
1541441702,158,0
1541445302,128,0
1541448902,125,0
1541452502,156,0
1541456102,140,0
1541459702,157,0
1541463302,181,4703
1541466902,237,0
1541470502,169,0
1541474102,123,0
1541477702,146,0
1541481302,184,0
1541484902,206,0
1541488502,191,0
1541492102,165,0
1541495702,186,0
1541499302,169,0
1541502901,222,0
1541506503,210,0
1541510102,250,0
1541513702,199,0
1541517302,196,0
1541520902,183,0
1541524502,184,0
1541528102,135,0
1541531702,175,0
1541535302,151,0
1541538902,175,0
1541542502,185,0
1541546102,162,0
1541549702,305,5635
1541553302,168,0
1541556902,173,0
1541560502,139,0
1541564102,129,0
1541567702,153,0
1541571302,151,0
1541574902,164,0
1541578502,229,0
1541582102,523,0
1541585702,193,0
1541589302,170,0
1541592901,187,0
1541596502,227,0
1541600102,319,0
1541603702,222,0
1541607303,188,0
1541610902,237,0
1541614502,172,0
1541618102,164,0
1541621702,190,0
1541625302,259,0
1541628902,243,0
1541632502,206,0
1541636102,162,4647
1541639702,242,0
1541643302,245,0
1541646902,223,0
1541650502,129,0
1541654102,138,0
1541657702,187,0
1541661302,219,0
1541664902,284,0
1541668502,313,1
1541672102,337,0
1541675702,262,0
