DateTime,AddedIPs,RemovedIPs
1539109246,4,2
1539116454,3,2
1539123654,1,2
1539130860,3,1
1539134451,0,1
1539138045,2,8
1539145244,5,2
1539147060,0,1
1539148854,1,1
1539152456,2,3
1539153342,0,1
1539156050,0,1
1539159653,2,7
1539166845,2,2
1539168767,0,1
1539169700,0,1
1539173148,1,1
1539174047,3,5
1539181267,3,1
1539188452,2,3
1539195653,3,1
1539202846,3,10
1539210042,0,3
1539217249,2,1
1539224463,3,5
1539231661,7,3
1539238843,1,3
1539246051,2,2
1539246950,0,1
1539250547,0,1
1539253246,3,5
1539258646,0,1
1539260451,4,1
1539264950,0,1
1539267648,7,2
1539274843,3,4
1539282050,5,5
1539289244,0,3
1539296468,6,1
1539303653,2,5
1539310849,2,17
1539318047,5,26
1539325247,2,10
1539329739,0,1
1539332440,11,24
1539339643,2,5
1539346835,5,3
1539354039,1,5
1539354943,0,1
1539361236,5,1
1539363036,1,0
1539368445,7,4
1539375650,4,1
1539382855,3,4
1539390037,2,3
1539397243,6,7
1539404450,11,4
1539405345,0,1
1539411642,2,3
1539418846,2,9
1539426046,1,2
1539428747,1,0
1539433252,7,4
1539435948,1,1
1539440438,3,3
1539441338,0,1
1539447647,2,3
1539454836,1,4
1539455738,1,0
1539461142,0,2
1539462032,5,4
1539469240,3,3
1539476431,4,3
1539483630,2,5
1539490838,4,5
1539498032,4,4
1539505231,4,2
1539512430,2,7
1539518778,1,0
1539519628,2,5
1539526836,7,3
1539534029,2,7
1539541239,6,1
1539548444,0,3
1539555639,2,1
1539562835,2,2
1539570037,3,5
1539573635,0,1
1539577240,3,1
1539584441,4,2
1539591633,3,0
1539598834,2,6
1539601535,1,0
1539606931,3,6
1539613228,1,3
1539619535,0,1
1539620433,2,4
1539627629,3,2
1539631229,0,1
1539633933,0,1
1539634835,2,1
1539642031,2,2
1539649230,2,1
1539651031,0,1
1539656435,2,3
1539663631,3,3
1539670828,5,6
1539678032,11,2
1539685227,7,8
1539692433,5,2
1539699629,2,3
1539702372,0,1
1539706839,6,1
1539714030,4,2
1539721229,3,2
1539728426,3,4
1539735633,3,2
1539742830,1,4
1539750033,5,3
1539757233,2,5
1539758125,0,1
1539764431,5,1
1539771630,0,8
1539774339,2,0
1539776135,0,1
1539778829,4,4
1539784230,0,1
1539786032,4,1
1539793229,2,3
1539799532,0,1
1539800424,2,3
1539807627,8,3
1539815729,6,2
1539822028,4,2
1539829233,4,2
1539836430,4,4
1539843633,5,4
1539849028,0,1
1539850825,3,5
1539851732,0,1
1539858027,4,4
1539865229,3,1
1539872426,4,4
1539879625,4,1
1539886826,3,2
1539894026,5,1
1539900328,0,1
1539901225,3,4
1539908424,2,2
1539915630,5,4
1539922831,4,4
1539930027,4,3
1539937220,3,2
1539938121,1,0
1539944426,6,5
1539947131,2,1
1539949835,0,1
1539951630,3,6
1539958823,6,2
1539966026,4,6
1539970526,2,0
1539973221,1,8
1539980432,6,3
1539987622,4,1
1539994819,2,2
1540002019,4,4
1540009220,3,5
1540012826,1,0
1540016425,4,3
1540023626,3,3
1540030824,1,9
1540038031,5,4
1540045223,4,10
1540052423,4,4
1540059624,2,3
1540066820,2,3
1540074026,2,2
1540081228,4,2
1540088421,1,6
1540095626,5,5
1540102825,1,3
1540110023,2,3
1540117218,4,2
1540119932,1,0
1540124422,3,5
1540131621,1,1
1540138819,2,4
1540146021,6,4
1540153217,1,2
1540155924,0,1
1540160420,5,2
1540167620,2,1
1540174827,2,3
1540182028,5,7
1540189220,5,6
1540194625,0,1
1540195518,0,1
1540197326,2,4
1540203624,4,5
1540207307,0,1
1540210810,0,5
1540218022,4,6
1540225225,1,1
1540232420,7,3
1540239622,4,2
1540246820,5,1
1540254027,1,2
1540258523,0,1
1540262117,2,4
1540268427,6,3
1540271126,1,0
1540275621,3,2
1540282823,1,4
1540287329,1,0
1540290025,3,6
1540290941,1,0
1540292731,1,0
1540294534,1,0
1540296321,3,0
1540297225,4,2
1540298121,0,1
1540299021,6,0
1540301718,1,0
1540304422,5,2
1540310719,1,0
1540311627,3,1
1540312521,1,0
1540314325,1,0
1540318818,3,2
1540326020,8,2
1540333225,1,3
1540340424,5,1
1540347618,3,7
1540354819,3,2
1540361120,1,0
1540362016,3,2
1540369218,4,5
1540376424,1,2
1540382728,1,0
1540383627,5,3
1540385421,1,0
1540390828,3,3
1540397131,1,0
1540398039,7,4
1540399827,1,0
1540405237,5,3
1540412424,3,0
1540419631,1,4
1540426831,6,2
1540434047,4,3
1540434938,1,0
1540488027,26,35
1540491633,8,5
1540498837,5,2
1540500629,8,0
1540506027,1,2
1540513225,5,5
1540520427,4,3
1540527641,3,1
1540534829,6,5
1540542022,2,1
1540549230,4,7
1540556442,3,4
1540563643,5,2
1540565434,4,0
1540570820,3,4
1540578030,3,3
1540585230,5,1
1540587028,0,7
1540592424,2,4
1540599633,1,4
1540605919,0,1
1540607723,2,6
1540609529,0,1
1540614038,4,4
1540617628,0,1
1540621231,3,3
1540622133,1,0
1540628430,2,0
1540635625,4,3
1540638336,1,0
1540642838,4,4
1540650037,0,7
1540650928,0,1
1540651823,0,5
1540658128,4,5
1540664424,3,2
1540671632,9,5
1540678831,2,3
1540686024,2,5
1540693234,6,6
1540694126,1,0
1540698633,2,0
1540700431,4,7
1540701332,1,0
1540703135,1,0
1540708528,3,4
1540710335,1,0
1540713025,0,1
1540714826,5,5
1540722027,2,8
1540723944,0,1
1540726697,0,1
1540728337,1,0
1540729240,4,6
1540736438,5,4
1540743638,2,4
1540750832,2,5
1540753538,1,0
1540758030,2,2
1540766127,0,2
1540772429,2,3
1540779629,1,6
1540786828,2,4
1540787723,1,0
1540794034,4,2
1540801239,3,6
1540808428,3,5
1540811146,1,1
1540815636,4,5
1540816537,0,1
1540822834,2,5
1540830039,4,3
1540837244,3,6
1540838176,0,1
1540844435,0,2
1540852535,5,1
1540858833,4,0
1540861533,0,1
1540866032,1,3
1540866937,1,0
1540873226,4,1
1540880432,1,5
1540887635,2,3
1540892130,0,1
1540893934,0,1
1540894827,5,1
1540895726,1,0
1540902034,6,5
1540909239,2,4
1540916431,3,3
1540920034,1,0
1540923632,9,3
1540930829,3,2
1540938022,4,0
1540945233,1,4
1540952436,4,2
1540953332,1,0
1540956938,1,0
1540957841,1,0
1540959633,4,4
1540965038,1,0
1540966831,4,7
1540974943,2,5
1540981232,9,4
1540988428,3,2
1540995634,7,5
1541002843,1,3
1541006431,1,1
1541010030,4,0
1541017246,1,2
1541024431,1,3
1541031634,5,0
1541038841,9,5
1541046035,4,1
1541046932,2,0
1541049628,0,1
1541053236,4,4
1541060429,6,4
1541062226,0,1
1541064029,0,1
1541067630,5,4
1541070429,0,1
1541071361,1,0
1541074830,2,2
1541082034,5,3
1541085635,1,0
1541087424,4,0
1541089236,7,7
1541096429,4,6
1541103628,5,0
1541110837,0,4
1541118040,5,2
1541125235,3,1
1541132428,8,7
1541135131,1,0
1541139629,3,3
1541146829,6,5
1541154042,2,5
1541161230,2,7
1541168433,7,5
1541173836,0,4
1541175623,5,4
1541180127,0,2
1541182827,4,4
1541190027,6,2
1541197234,3,3
1541204437,3,2
1541207128,0,1
1541211630,1,3
1541218828,3,5
1541226035,5,5
1541233236,1,8
1541240434,5,2
1541247633,4,3
1541254839,3,4
1541256632,0,1
1541262034,2,3
1541269230,2,2
1541276431,5,15
1541283621,4,2
1541290834,1,1
1541298045,1,7
1541305235,5,6
1541306138,1,0
1541312428,0,7
1541316038,2,1
1541323237,2,0
1541326838,0,3
1541330440,5,0
1541334036,0,5
1541337628,3,0
1541341228,0,1
1541344838,2,2
1541348434,0,5
1541352033,3,0
1541355632,0,3
1541359237,4,1
1541366431,1,1
1541370036,0,1
1541373633,4,0
1541380832,0,1
1541384435,0,2
1541387131,1,0
1541388034,1,0
1541391636,0,4
1541395231,10,0
1541398839,0,3
1541402431,4,0
1541406039,0,4
1541409630,3,2
1541413240,0,2
1541416834,6,0
1541424047,1,1
1541427630,0,1
1541430367,8,0
1541431234,3,0
1541434836,0,3
1541437535,0,1
1541438429,4,0
1541439332,0,1
1541442040,0,3
1541445634,1,0
1541449239,0,2
1541452838,5,1
1541460050,4,0
1541463650,1,1
1541467249,1,0
1541470849,0,2
1541474442,1,2
1541478045,0,17
1541481650,5,0
1541488846,5,6
1541496041,1,8
1541502340,2,0
1541503246,3,4
1541508631,0,6
1541510442,3,0
1541516770,0,8
1541517642,5,5
1541524848,3,1
1541532054,2,1
1541532956,1,0
1541539249,1,1
1541546449,3,2
1541547349,0,1
1541553649,3,5
1541555434,0,1
1541560829,1,4
1541568030,5,3
1541575252,3,2
1541582438,3,3
1541589763,3,3
1541596843,3,2
1541604042,3,4
1541611239,3,3
1541614856,1,0
1541616658,0,1
1541618444,3,2
1541625632,1,2
1541632831,9,1
1541636442,1,1
1541640050,10,2
1541644543,1,0
1541647245,5,4
1541654439,4,6
1541661637,4,1
1541665237,0,1
1541668831,4,4
1541675133,0,3
