DateTime,Entries,UniqueIPs
1539109246,1471,1471
1539116454,1472,1472
1539123654,1471,1471
1539130860,1473,1473
1539134451,1472,1472
1539138045,1466,1466
1539145244,1469,1469
1539147060,1468,1468
1539148854,1468,1468
1539152456,1467,1467
1539153342,1466,1466
1539156050,1465,1465
1539159653,1460,1460
1539166845,1460,1460
1539168767,1459,1459
1539169700,1458,1458
1539173148,1458,1458
1539174047,1456,1456
1539181267,1458,1458
1539188452,1457,1457
1539195653,1459,1459
1539202846,1452,1452
1539210042,1449,1449
1539217249,1450,1450
1539224463,1448,1448
1539231661,1452,1452
1539238843,1450,1450
1539246051,1450,1450
1539246950,1449,1449
1539250547,1448,1448
1539253246,1446,1446
1539258646,1445,1445
1539260451,1448,1448
1539264950,1447,1447
1539267648,1452,1452
1539274843,1451,1451
1539282050,1451,1451
1539289244,1448,1448
1539296468,1453,1453
1539303653,1450,1450
1539310849,1435,1435
1539318047,1414,1414
1539325247,1406,1406
1539329739,1405,1405
1539332440,1392,1392
1539339643,1389,1389
1539346835,1391,1391
1539354039,1387,1387
1539354943,1386,1386
1539361236,1390,1390
1539363036,1391,1391
1539368445,1394,1394
1539375650,1397,1397
1539382855,1396,1396
1539390037,1395,1395
1539397243,1394,1394
1539404450,1401,1401
1539405345,1400,1400
1539411642,1399,1399
1539418846,1392,1392
1539426046,1391,1391
1539428747,1392,1392
1539433252,1395,1395
1539435948,1395,1395
1539440438,1395,1395
1539441338,1394,1394
1539447647,1393,1393
1539454836,1390,1390
1539455738,1391,1391
1539461142,1389,1389
1539462032,1390,1390
1539469240,1390,1390
1539476431,1391,1391
1539483630,1388,1388
1539490838,1387,1387
1539498032,1387,1387
1539505231,1389,1389
1539512430,1384,1384
1539518778,1385,1385
1539519628,1382,1382
1539526836,1386,1386
1539534029,1381,1381
1539541239,1386,1386
1539548444,1383,1383
1539555639,1384,1384
1539562835,1384,1384
1539570037,1382,1382
1539573635,1381,1381
1539577240,1383,1383
1539584441,1385,1385
1539591633,1388,1388
1539598834,1384,1384
1539601535,1385,1385
1539606931,1382,1382
1539613228,1380,1380
1539619535,1379,1379
1539620433,1377,1377
1539627629,1378,1378
1539631229,1377,1377
