DateTime,AddedIPs,RemovedIPs
1539529427,2,2
1539533023,0,1
1539536624,2,0
1539543763,0,2
1539550963,0,2
1539554564,1,3
1539558164,1,1
1539561822,0,1
1539568964,2,3
1539576165,2,1
1539579763,1,0
1539583362,1,2
1539586963,1,2
1539590563,1,0
1539594224,0,4
1539597763,2,0
1539601364,0,1
1539604965,2,0
1539608625,0,3
1539612221,0,1
1539615769,0,1
1539619363,0,2
1539622962,1,0
1539626562,2,1
1539630164,1,2
1539637428,0,1
1539640966,2,2
1539644625,1,0
1539648164,0,1
1539651765,1,2
1539655365,1,2
1539658970,0,1
1539662623,1,0
1539666163,1,3
1539669822,2,0
1539673363,6,2
1539676963,3,1
1539680625,2,2
1539684223,2,1
1539687766,1,0
1539691371,2,3
1539702164,2,2
1539705768,2,1
1539709425,2,0
1539712965,1,2
1539716565,1,0
1539720171,0,3
1539727427,2,0
1539730969,1,2
1539734565,1,0
1539738165,1,0
1539741765,0,3
1539745369,1,0
1539749024,3,2
1539756171,1,4
1539759764,2,2
1539763371,2,1
1539766964,0,3
1539774225,1,1
1539777764,2,0
1539781364,0,2
1539785025,3,0
1539788625,0,3
1539792224,1,0
1539795765,1,1
1539799365,1,1
1539802965,4,0
1539806566,3,0
1539810165,1,0
1539813765,1,0
1539817366,2,2
1539820965,1,2
1539828165,3,2
1539831825,1,3
1539835368,1,4
1539842571,5,2
1539846165,0,1
1539849830,1,2
1539853365,3,2
1539856967,1,0
1539860568,1,1
1539867825,2,2
1539871426,2,0
1539875025,2,1
1539878569,1,1
1539882172,2,2
1539889430,1,0
1539893026,2,0
1539896570,1,0
1539900166,2,2
1539903765,1,0
1539907369,0,2
1539914565,4,4
1539918228,0,1
1539921766,3,3
1539925371,2,0
1539928970,1,1
1539932568,0,1
1539936227,2,5
1539939827,1,0
1539943366,2,2
1539947027,1,0
1539950568,2,0
1539954171,2,0
1539957766,2,1
1539964969,2,10
1539968629,0,1
1539972172,1,4
1539975768,3,0
1539979428,1,2
1539982969,2,0
1539986574,2,2
1539993834,0,1
1539997369,2,0
1540000972,2,4
1540008172,2,3
1540015374,3,3
1540018970,1,0
1540026171,1,0
1540033433,4,3
1540036972,0,1
1540040571,1,1
1540044170,1,0
1540047829,0,1
1540051430,3,0
1540054971,1,0
1540058628,0,1
1540065770,1,3
1540069371,1,0
1540076571,2,10
1540080174,1,0
1540083772,0,3
1540087370,1,2
1540090971,0,2
1540094572,3,0
1540098235,0,4
1540101832,1,0
1540105372,0,3
1540108971,1,0
1540112576,1,1
1540116229,2,0
1540119775,1,3
1540123374,1,0
1540126971,0,1
1540130633,1,2
1540134171,1,0
1540141431,2,2
1540144971,3,1
1540148572,1,0
1540155771,3,0
1540159374,1,0
1540166573,1,0
1540170170,0,2
1540173772,2,0
1540177430,4,3
1540180974,0,3
1540184574,1,2
1540188172,2,0
1540195431,0,1
1540198969,1,0
1540202574,2,2
1540209830,0,6
1540213371,1,0
1540216970,3,0
1540224171,0,3
1540227771,5,0
1540231433,2,3
1540234970,1,0
1540242172,1,0
1540245772,3,3
1540249377,1,0
1540252976,0,1
1540260171,1,0
1540263772,0,1
1540267372,3,1
1540271034,1,1
1540274571,1,0
1540281831,0,3
1540285431,2,0
1540289032,0,3
1540292632,1,0
1540296234,0,2
1540299772,1,0
1540303373,2,0
1540310631,0,1
1540314231,1,2
1540317771,1,0
1540321372,1,1
1540324974,4,0
1540335774,2,0
1540343036,1,2
1540346574,2,0
1540350171,0,2
1540353772,2,2
1540357372,1,2
1540364571,1,2
1540368233,1,0
1540371771,0,3
1540379032,3,4
1540382571,2,0
1540386171,2,5
1540389772,1,0
1540393371,1,1
1540396973,4,0
1540400572,3,0
1540404174,1,0
1540411373,2,0
1540418573,0,4
1540422174,1,0
1540425775,3,0
1540429374,1,3
1540432975,2,0
1540436576,2,2
1540440173,2,2
1540443833,0,2
1540447373,3,0
1540451031,0,1
1540454573,1,0
1540458173,1,1
1540465338,2,7
1540468998,1,2
1540472541,2,0
1540476200,2,0
1540479798,2,0
1540483398,2,1
1540486998,4,0
1540490599,5,1
1540494199,1,0
1540497739,1,3
1540505001,0,5
1540508599,2,0
1540512199,1,1
1540515799,1,0
1540519399,2,2
1540526539,3,1
1540530199,4,0
1540533799,1,2
1540537399,0,1
1540540999,1,0
1540544599,1,1
1540548139,3,3
1540551741,1,1
1540555399,0,1
1540559001,1,2
1540562542,3,1
1540566142,1,0
1540573341,1,13
1540577001,2,0
1540580541,2,0
1540584201,2,1
1540587801,1,0
1540591402,0,4
1540594942,1,0
1540605803,2,4
1540609402,2,1
1540613004,1,1
1540620204,0,2
1540623743,2,0
1540627344,0,1
1540631004,1,8
1540634543,2,0
1540638202,2,2
1540641801,2,3
1540649000,0,2
1540652545,3,1
1540659804,1,1
1540667001,4,2
1540670604,4,1
1540674202,0,2
1540677744,1,8
1540681346,1,0
1540688545,1,2
1540692144,0,3
1540695803,1,3
1540699401,0,2
1540702945,1,0
1540706603,0,1
1540710144,3,4
1540713744,1,0
1540721002,2,1
1540724605,1,12
1540728201,0,4
1540731741,4,4
1540739001,1,1
1540742543,1,1
1540746204,0,2
1540749804,1,0
1540753403,2,4
1540760545,0,19
1540767744,0,14
1540774944,0,9
1540778602,1,0
1540782202,0,8
1540785803,1,0
1540789343,2,17
1540792943,2,0
1540796602,1,2
1540803805,1,5
1540807403,1,0
1540811004,2,10
1540814602,1,3
1540818203,1,0
1540821743,1,2
1540825404,0,2
1540829005,2,1
1540832543,1,0
1540836144,1,2
1540843402,0,1
1540846946,3,0
1540850545,1,2
1540854205,3,0
1540857804,0,1
1540864944,0,3
