DateTime,AddedIPs,RemovedIPs
1539694965,2,0
1539698565,0,1
1539702164,2,1
1539705768,2,1
1539709425,2,0
1539712965,2,0
1539716565,1,1
1539727427,4,0
1539730969,1,1
1539734565,1,2
1539738165,2,1
1539745369,1,2
1539749024,3,3
1539752565,0,2
1539756171,1,2
1539759764,3,2
1539763371,2,1
1539770570,1,0
1539774225,1,2
1539777764,2,2
1539785025,4,1
1539788625,0,2
1539792224,1,2
1539795765,1,1
1539799365,1,5
1539802965,4,3
1539806566,4,1
1539810165,1,1
1539813765,2,1
1539817366,2,0
1539820965,1,0
1539824565,0,1
1539828165,3,1
1539831825,1,3
1539835368,1,1
1539842571,6,4
1539849830,1,4
1539853365,3,2
1539856967,2,1
1539860568,1,4
1539864165,1,2
1539867825,2,1
1539871426,2,3
1539875025,2,5
1539878569,2,3
1539882172,3,3
1539885828,0,2
1539889430,2,2
1539893026,3,0
1539896570,2,1
1539900166,2,2
1539903765,2,1
1539914565,4,3
1539918228,1,1
1539921766,4,3
1539925371,2,2
1539928970,1,2
1539932568,0,2
1539936227,3,0
1539939827,1,3
1539943366,4,1
1539947027,1,2
1539950568,2,2
1539954171,2,1
1539957766,2,2
1539964969,5,0
1539968629,0,1
1539972172,2,2
1539975768,3,1
1539979428,2,4
1539982969,2,0
1539986574,3,5
1539990167,0,1
1539993834,0,1
1539997369,2,0
1540000972,2,1
1540004572,1,0
1540008172,2,2
1540011776,0,2
1540015374,3,5
1540018970,1,3
1540022630,1,3
1540026171,1,2
1540029767,0,4
1540033433,4,3
1540036972,0,2
1540040571,1,1
1540044170,1,2
1540047829,0,2
1540051430,3,6
1540054971,1,0
1540058628,1,3
1540062167,1,2
1540065770,3,0
1540069371,2,3
1540076571,2,0
1540080174,1,0
1540087370,1,1
1540090971,0,1
1540094572,4,4
1540098235,0,2
1540101832,1,1
1540108971,2,1
1540112576,2,0
1540116229,4,3
1540119775,2,4
1540123374,1,1
1540130633,1,1
1540134171,1,0
1540137828,0,2
1540141431,2,0
1540144971,3,0
1540148572,2,1
1540155771,4,1
1540159374,2,0
1540166573,1,1
1540173772,2,1
1540177430,4,4
1540180974,0,1
1540184574,1,2
1540188172,3,2
1540191770,2,0
1540195431,1,3
1540198969,2,1
1540202574,2,2
1540209830,0,1
1540213371,1,1
1540216970,3,0
1540220574,0,4
1540227771,5,3
1540231433,2,2
1540234970,2,2
1540238570,0,1
1540242172,1,0
1540245772,3,0
1540249377,1,2
1540252976,0,1
1540260171,1,1
1540263772,1,0
1540267372,4,4
1540271034,1,8
1540274571,2,3
1540278171,0,4
1540281831,0,1
1540285431,2,3
1540289032,0,4
1540292632,3,6
1540296234,0,1
1540299772,1,2
1540303373,3,2
1540306974,2,2
1540310631,0,1
1540314231,1,2
1540317771,1,2
1540321372,2,1
1540324974,6,3
1540328574,0,2
1540332174,0,1
1540335774,4,0
1540339375,1,1
1540343036,2,1
1540346574,2,3
1540353772,2,2
1540357372,1,0
1540360971,0,1
1540364571,2,1
1540368233,2,3
1540371771,3,0
1540375371,0,1
1540379032,3,6
1540382571,2,0
1540386171,2,3
1540389772,1,1
1540393371,1,0
1540396973,5,0
1540400572,3,5
1540404174,1,1
1540407773,1,0
1540411373,3,2
1540418573,0,1
1540422174,3,4
1540425775,4,3
1540429374,1,1
1540432975,4,5
1540436576,2,2
1540440173,2,2
1540447373,3,4
1540451031,0,4
1540454573,4,2
1540458173,1,1
1540458738,0,1
1540461740,10,0
1540465338,2,1
1540468998,1,1
1540472541,3,2
1540476200,4,1
1540479798,2,3
1540483398,2,14
1540486998,5,3
1540490599,5,3
1540494199,3,0
1540497739,1,2
1540501400,1,1
1540505001,0,2
1540508599,2,3
1540512199,2,1
1540515799,1,2
1540519399,3,1
1540526539,3,5
1540530199,4,5
1540533799,1,4
1540540999,1,2
1540544599,1,0
1540548139,3,9
1540551741,1,2
1540555399,0,3
1540559001,1,5
1540562542,3,1
1540566142,1,2
1540569740,0,1
1540573341,1,1
1540577001,5,4
1540580541,2,0
1540584201,2,7
1540587801,1,2
1540594942,3,1
1540600999,1,0
1540605803,2,5
1540609402,2,3
1540613004,2,2
1540620204,0,3
1540623743,2,1
1540627344,0,2
1540631004,1,3
1540634543,2,2
1540638202,2,4
1540641801,2,1
1540645342,0,1
1540649000,2,4
1540652545,4,11
1540656143,0,2
1540659804,2,3
1540663404,1,0
1540667001,4,4
1540670604,4,2
1540674202,0,1
1540677744,1,1
1540681346,2,1
1540688545,1,0
1540692144,4,0
1540695803,3,0
1540699401,1,1
1540702945,1,1
1540706603,4,0
1540710144,3,3
1540713744,1,1
1540717342,1,1
1540721002,2,4
1540724605,5,1
1540731741,4,2
1540735405,2,1
1540739001,1,2
1540742543,1,2
1540746204,0,2
1540749804,2,1
1540753403,2,3
1540756944,0,1
1540760545,1,0
1540767744,4,0
1540771343,0,1
1540774944,1,1
1540778602,2,2
1540785803,1,2
1540789343,2,2
1540792943,3,1
1540796602,1,5
1540800206,0,1
1540803805,1,2
1540807403,8,2
1540811004,3,2
1540814602,1,3
1540818203,1,0
1540821743,3,0
1540825404,0,3
1540829005,2,2
1540832543,2,0
1540836144,1,3
1540839803,0,4
1540846946,4,0
1540850545,1,1
1540854205,4,3
1540857804,0,2
1540861406,1,1
1540864944,1,0
1540868544,1,0
1540872145,3,3
1540875803,0,2
1540883003,2,1
1540886603,1,1
1540890204,4,4
1540893805,5,0
1540897343,5,2
1540901004,1,1
1540904544,2,0
1540911804,2,1
1540915345,2,1
1540918945,3,3
1540922604,4,4
1540926205,2,2
1540929805,0,2
1540933406,2,1
1540937004,2,0
1540940545,0,1
1540944147,1,2
1540947807,1,2
1540951345,1,0
1540955007,3,1
1540958544,1,0
1540962205,2,4
1540965744,1,1
1540968443,1,3
1540969406,0,1
1540972944,1,0
1540976604,3,3
1540980204,3,2
1540983745,1,2
1540987406,3,2
1540990948,3,4
1540994604,4,3
1540998146,1,2
1541001804,0,2
1541005344,2,0
1541009008,1,3
1541012544,1,1
1541016206,0,1
1541023345,1,1
1541027005,1,1
1541030544,4,0
1541034146,2,1
1541037807,7,1
1541041405,2,1
1541044947,0,3
1541048605,2,3
1541052205,1,1
1541055745,2,2
1541059347,4,4
1541063006,2,2
1541066604,2,4
1541073746,2,1
1541077406,0,2
1541081006,2,0
1541084546,1,0
1541088205,4,2
1541091747,2,2
1541095406,2,1
1541098948,2,4
1541102606,0,2
1541106146,1,17
1541109747,0,1
1541113406,1,1
1541117005,4,1
1541120608,1,2
1541124206,2,1
1541127806,6,2
1541131345,3,2
1541134946,1,4
1541138606,1,1
1541142146,2,3
1541145747,4,5
1541153006,1,0
1541156606,2,2
1541160206,1,1
1541163806,1,2
1541167409,3,3
1541170946,4,1
1541174546,1,0
1541178208,1,4
1541181746,3,3
1541185406,1,2
1541189006,3,1
1541192610,1,0
1541196146,1,0
1541203408,2,0
1541214147,3,3
1541217746,0,3
1541221346,2,2
1541225007,1,3
1541228547,1,2
1541232208,0,2
1541235808,2,2
1541239407,1,1
1541243007,5,2
1541246547,1,0
1541250208,1,0
1541253807,2,0
1541257349,2,1
1541261008,1,1
1541268150,1,3
1541271808,2,1
1541275349,3,2
1541279008,0,1
1541282608,1,0
1541286208,1,0
1541296949,0,2
1541300608,2,3
1541304208,5,1
1541307808,0,1
1541311347,1,1
1541315008,1,19
1541318549,2,4
1541322210,1,1
1541329411,4,8
1541332947,0,1
1541336610,2,2
1541340148,2,0
1541341227,1,0
1541347349,1,1
1541350948,0,2
1541354610,2,1
1541358148,2,1
1541365410,1,2
1541369010,1,11
1541372550,2,0
1541376208,0,2
1541379752,0,1
1541383348,1,0
1541387010,1,4
1541390549,6,1
1541394211,6,4
1541397751,1,1
1541401352,3,2
1541405010,1,3
1541408548,2,0
1541412150,2,1
1541415754,3,2
1541419412,1,0
1541423009,1,1
1541426553,2,1
1541430209,2,1
1541433812,1,3
1541437352,1,4
1541441011,1,2
1541444612,2,1
1541448212,4,1
1541451810,2,2
1541455350,16,1
1541458953,1,1
1541466210,0,1
1541469810,1,1
1541473350,1,1
1541480550,4,4
1541484209,0,3
1541487751,4,2
1541495011,1,1
1541498610,1,3
1541502151,2,0
1541505810,0,1
1541509411,2,3
1541513011,1,1
1541516551,4,4
1541520211,1,0
1541523815,1,1
1541527413,1,2
1541531012,1,3
1541534610,2,1
1541541751,1,2
1541545352,1,1
1541548951,2,1
1541552613,2,1
1541563351,1,1
1541567013,3,7
1541570551,1,0
1541574212,2,3
1541577755,1,2
1541581410,1,1
1541585012,2,1
1541588612,2,0
1541592150,3,0
1541595812,0,2
1541599351,1,3
1541603013,2,1
1541606611,2,1
